,mean RMSE,line
gap1_1,0.026031468985849654,wt
gap1_2,0.04613024513588254,wt
gap1_3,0.151892696190452,wt
gap1_4,0.29680480818803817,wt
gap1_5,0.1166709528497071,wt
gap1_ltr_1,0.13282382534770365,ltr
gap1_ltr_3,0.03170182585388241,ltr
gap1_ltr_4,0.09442865412024909,ltr
gap1_ltr_5,0.12492054658785572,ltr
gap1_ltr_6,0.02349411853892244,ltr
gap1_ltr_7,0.02828432452384333,ltr
gap1_ltr_8,0.13255967013952596,ltr
gap1_ars_1,0.2067276641407637,ars
gap1_ars_3,0.08255564794796495,ars
gap1_ars_4,0.13282896147056616,ars
gap1_ars_5,0.08661895072094315,ars
gap1_ars_6,0.11746710335903357,ars
gap1_ars_7,0.1369980695778198,ars
gap1_ars_8,0.031034516747631087,ars
gap1_all_1,0.08055233285640927,all
gap1_all_2,0.16401962623927102,all
gap1_all_3,0.1327530613029724,all
gap1_all_4,0.01860278814636543,all
gap1_all_5,0.20747454821317818,all
gap1_all_6,0.05004198294258048,all
gap1_all_7,0.009960735497204568,all
gap1_all_8,0.14010680147208357,all
